Headline,Publication,Date
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 17, 784 words",9/3/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 19, 784 words",9/3/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 23, 784 words",9/3/20
Opinion | Robert Kennedy's Lesson on Political Violence That Joe Biden Needs to Learn,"Politico.com, POLITICOPICKS, 1711 words",9/9/20
Evidence Accrues That Black Lives Matter Is a Terrorist Organization,"Newstex Blogs Moonbattery, 573 words",9/10/20
Hume: Rest in peace,"Eolas Magazine; issue-41public-affairs, 1660 words",9/11/20
Democrats in Deep With Black Lives Matter Riots,"Newstex Blogs Moonbattery, 805 words",9/11/20
Brexit Is the IRA's Biggest Recruitment Tool,"Newstex Blogs Foreign Policy, 2073 words",9/14/20
"RICHARDS: In A Time Of Violence, Americans Must Take A Stand Against Lawlessness","The Daily Caller, OPINION, 1117 words",9/14/20
Hume: Rest in peace,"AgendaNi; issue-101public-affairs, 1407 words",9/15/20
The political extortion of the left in this country,"Newstex Blogs Prairie Pundit, 105 words",9/15/20
US and Eh?! Show - Tonight!,"Newstex Blogs iOTWreport, 165 words",9/23/20
Patel: Democrats' Complaints About The Coming Supreme Court Vote Don't Pass The Smell Test,"The Daily Caller, OPINION, 1150 words",9/25/20
Far-Right Group That Trades in Political Violence Gets a Boost,"The New York Times , US, 1586 words",9/30/20
"The Proud Boys, Who Trade in Political Violence, Get a Boost From Trump","Economic News, 1557 words",10/1/20
Opinion | Americans Increasingly Believe Violence is Justified if the Other Side Wins,"Politico.com, POLITICOPICKS, 1593 words",10/1/20
Far-Right Group That Trades in Political Violence Gets a Boost,"The New York Times, Section A; Column 0National Desk; Pg. 18, 1554 words",10/1/20
MALCOLM: Let's avoid dishonest spin and focus on what unites,"Toronto Sun, COLUMNISTS, 836 words",10/4/20
"IRA threat to Brexit border posts in Ulster: Checkpoints in Northern Ireland could become targets for dissident republicans after we leave EU, MPs warn","MailOnline, NEWS; Version:2, 762 words",10/5/20
HOUSE DEMOCRATIC LEADER CHRISTINE GREIG ON THE RIGHT-WING MILITIA'S PLAN TO KIDNAP GOVERNOR WHITMER,"States News Service, 164 words",10/8/20
Domestic Terrorism,"The New York Times , BRIEFING, 1835 words",10/9/20
U.S. on the edge of a civil war,"Tehran Times, 1104 words",10/10/20
Unionism was first to use political violence in support of dictatorship,"Irish News; A3F2, 108 words",10/13/20
"As Trump’s Language Grows More Heated, Fears Rise of Political Violence","The New York Times , US; politics, 1870 words",10/15/20
American Nightmare,"The Almanian: Alma College, NEWS; Pg. 1, 798 words",10/16/20
"As Trump's Language Grows More Heated, Fears Rise of Political Violence","The New York Times - International Edition, US, 1871 words",10/17/20
Professor Calls Out GOP After Fmr Trump Official Blames President for Inspiring Political Violence,"Newstex Blogs Law and Crime, 880 words",10/18/20
"Turkey and Hungary's Autocratic Ruling Parties Similar To US Republican Party, Study Finds","Newstex Blogs International Business Times News, 571 words",10/26/20
CONSEQUENCES OF POLARIZATION,"Pittsburgh Post-Gazette, EDITORIAL; Pg. A-10, 426 words",10/28/20
CONSEQUENCES OF POLARIZATION,"Pittsburgh Post-Gazette, OPINION; Pg. A-10, 426 words",10/28/20
USA.- USA chooses between four more trump years or change with Biden,"CE Noticias Financieras English, 1214 words",11/2/20
Trump Promotes Political Violence In Defense Of Supporters Who Swarmed Biden Bus,"Newstex Blogs The Huffington Post, 1533 words",11/2/20
Election Day is almost here: What are the chances of serious political violence?,"Salon.com, 2763 words",11/2/20
"On the Eve of Election Day, Harvard Students Report Anxiety and Anticipation","The Harvard Crimson: Harvard University, COLLEGE NEWS; Pg. 1, 829 words",11/2/20
Democrats prepared for 'the worst' amid election eve anxiety,"The Guardian (London), AUSTRALIA NEWS; Version:2, 969 words",11/3/20
Humility on both sides is what the US needs now,"The Courier Mail (Australia), LETTERS; Pg. 39, 326 words",11/9/20
SCALISE: POLITICAL VIOLENCE HAS NO PLACE IN AMERICA,"States News Service, 352 words",11/17/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 30, 374 words",11/28/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 32, 374 words",11/28/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 36, 374 words",11/28/20
He certainly burst ghosts,"CE Noticias Financieras English, 442 words",12/7/20
Trump-supporting 'Stop the Steal' mobs are a reminder that political violence is always inexcusable,"Newstex Blogs The Business Insider, 1722 words",12/8/20
"Dr. Seth Norrholm: How to survive the physical, financial and emotional abuse of the Trump era","Salon.com, 2297 words",12/21/20
Huffman leads call for ban on lawmakers toting guns at Capitol,"The Press Democrat, Santa Rosa, Calif., STATE AND REGIONAL NEWS, 609 words",12/24/20
Critics worry Trump's voter fraud lies could trigger violence in Georgia,"Newstex Blogs Better Georgia, 330 words",1/1/21
What Should Happen To Elected Officials Who Overtly Stoke Political Violence?,"Newstex Blogs DownWithTyranny, 1353 words",1/3/21
BENNET DENOUNCES ATTACK ON U.S. CAPITOL AND EFFORT TO OVERTURN THE ELECTION,"States News Service, 1097 words",1/6/21
"America, Welcome to the Ranks of Struggling Democracies","Newstex Blogs Foreign Policy, 1359 words",1/7/21
Jimmy Kimmel Calls Out Trump's 'Scumbag' Enablers By Name In Scathing Monologue,"Newstex Blogs The Huffington Post, 305 words",1/7/21
Tucker Carlson Says Dead Capitol Rioter Is Victim of 'Political Violence' (Video),"Newstex Blogs The Wrap, 581 words",1/7/21
Acting U.S. Homeland Security chief urges Trump to condemn supporters' violence,"Postmedia Breaking News, PMN CRIME, 121 words",1/7/21
"Sen. Bennet Denounces Attack on U.S. Capitol, Effort to Overturn Election","Targeted News Service, 1107 words",1/7/21
Dow Futures Extend Gain As Congress Certifies Biden Election Victory Following Capitol Hill Riots; Trump Vows 'Orderly Transition',"TheStreet.com, 767 words",1/7/21
POLITICAL VIOLENCE SHAKES COUNTRY,"Wall Street Journal Abstracts, A; Pg. 1, 41 words",1/7/21
"A single, horrifying day that has shaken a nation to its core","The Australian, THENATION; Pg. 3, 773 words",1/8/21
Political Violence in Washington (Opinion),"MENAFN - Business & Finance News (English), 1562 words",1/12/21
Every Senator here is concerned': Political violence top of mind for some Florida lawmakers,"Newstex Blogs Florida Politics, 808 words",1/12/21
Salesforce says it has 'taken action' to prevent further U.S. political violence,"Postmedia Breaking News, PMN CRIME, 191 words",1/12/21
"As Corporate America Flees Trump, MyPillow’s C.E.O. Stands by Him","The New York Times , BUSINESS; media, 651 words",1/12/21
"TRUMP IMPEACHED A SECOND TIME;\INCITEMENT OF INSURRECTION\"" ARTICLE PASSES HOUSE""","ABC News Transcript, WORLD NEWS TONIGHT WITH DAVID MUIR 6:32 PM EST, 1362 words",1/13/21
"The Latest: In video, Trump condemns deadly riot he fomented","Associated Press International, POLITICAL NEWS, 4844 words",1/13/21
Trump condemns the violent insurrection he fomented at the Capitol,"CE Noticias Financieras English, 147 words",1/13/21
Matt Gaetz Booed Amid Trump Impeachment Debate for Accusing Dems of Setting 'Actual Fires',"Newsweek.com, 684 words",1/13/21
Gaetz: The Left 'Lit Actual Flames';Gaetz has been a stalwart supporter of President Trump since both were elected in 2016.,"The Daily Caller, POLITICS; us, 371 words",1/13/21
"Yes, Republicans really did try to blame Trump’s behavior on BLM during impeachment hearings","The Independent (United Kingdom), VOICES; Version:1, 765 words",1/13/21
"As Brands Flee President, MyPillow Does Opposite","The New York Times, Section B; Column 0Business/Financial Desk; Pg. 3, 618 words",1/13/21
Trump condemns deadly riot he fomented; House records enough votes to impeach Trump; 100 arrests made in last week's Capitol riot,"thestar.com, NEWS; Pg. 0, 6064 words",1/13/21
"Trump \unequivocally\"" condemns U.S. Capitol violence one week after riots""","Newstex Blogs Axios, 572 words",1/14/21
Attorney General Jeff Landry declines to join other AGs in singling out U.S. Capitol attack for condemnation,"Newstex Blogs Louisiana Illuminator, 952 words",1/14/21
Republicans opposed riots and want to prosecute all who broke the law while Democrats dismissed cases against the perps,"Newstex Blogs Prairie Pundit, 288 words",1/14/21
"Washington locks down, Delta bans guns to D.C. ahead of inauguration","Postmedia Breaking News, PMN CRIME, 521 words",1/14/21
Biden urges Senate to focus on his agenda as Trump impeached for a second time-latest news,"telegraph.co.uk, NEWS; Version:1, 4499 words",1/14/21
The deterrent to insurrection;Most Americans - including most Republicans - decry political violence like that against the U.S. Capitol. The moral norm of peaceful deliberation still works against the hate and fear behind armed protesters.,"The Christian Science Monitor, Commentary, 504 words",1/14/21
"Meet the Press Daily for January 15, 2021","MSNBC, MTP DAILY 1:00 PM EST, NEWS; Domestic, 7889 words",1/15/21
We've Been Coddling Right Wing Terrorists for Thirty Years,"Newstex Blogs Talking Points Memo Editors' Blog, 213 words",1/15/21
U.S. gun sales hit all-time high as threats of political violence grow,"Newstex Blogs Axios, 1012 words",1/16/21
"Kevin McCarthy warned members to not call out colleagues by name, citing potential political violence","Newstex Blogs Axios, 485 words",1/17/21
The Biggest Issues to Watch in 2021,"Governing, STATE AND REGIONAL NEWS, 9304 words",1/19/21
"SCALISE DISCUSSES POLITICAL VIOLENCE, CANCEL CULTURE, AND TECH CENSORSHIP ON THE MEGYN KELLY SHOW","States News Service, 2506 words",1/19/21
Trump Presidency Reaches End,"Newstex Blogs Voice of America, 459 words",1/20/21
"ARRINGTON DISCUSSES DEMOCRAT IMPEACHMENT, LEFTIST POLITICAL VIOLENCE AND BIDEN'S HOSTILITY TO ENERGY SECTOR","States News Service, 770 words",1/22/21
"Arrington Discusses Democrat Impeachment, Leftist Political Violence and Biden’s Hostility to Energy Sector","Impact News Service, 770 words",1/25/21
Sarah Huckabee Sanders: Trump press secretary to run for Arkansas governor,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:2, 681 words",1/25/21
SUPERCUT OF DEMOCRATS CALLING FOR POLITICAL VIOLENCE,"Newstex Blogs Balladeer's Blog, 91 words",1/26/21
"Expanding powers at the expense of rights would undermine US democracy';Democrat Rashida Tlaib, one of the party's left-wingSquad, tells Alex Woodwardwhy the Capitol riot must not be used as an excuseto force throughill-conceived terrorism laws","The Independent - Daily Edition, WORLD; Pg. 24, 2010 words",1/26/21
"Expanding powers at the expense of rights would undermine US democracy';Democrat Rashida Tlaib, one of the party's left-wingSquad, tells Alex Woodwardwhy the Capitol riot must not be used as an excuseto force throughill-conceived terrorism laws","The Independent - Daily Edition, WORLD; Pg. 25, 1545 words",1/26/21
"Meet the Press Daily for January 27, 2020","MSNBC, MTP DAILY 1:00 PM EST, NEWS; Domestic, 4172 words",1/28/21
California Congressman to file resolution to expel Marjorie Taylor Greene from Congress,"Newstex Blogs Better Georgia, 778 words",1/28/21
Marjorie Taylor Greene Suggested Defending Freedom With Price Of Blood,"Forbes.com, 463 words",1/29/21
NEVER BACK DOWN' 'QAnon Rep' Marjorie Taylor Greene slams 'cancel culture mob' & urges GOP not to 'cower' to Dems after Parkland backlash,"thesun.co.uk, NEWS,US NEWS,POLITICS,REPUBLICAN PARTY,UNITED STATES CONGRESS; Version:7, 468 words",1/29/21
"Dem Rep Calls Out 'Coward' Kevin McCarthy: 'Grow a Spine' and Stand Up to QAnon, Other Extremists in House GOP Caucus","Newstex Blogs Mediaite, 581 words",1/30/21
LETTERS TO THE EDITOR,"The Hartford Courant, MAIN; A; Pg. 9, 700 words",2/1/21
First Works Baptist Church: LGBT Terrorism?,"Newstex Blogs Moonbattery, 374 words",2/2/21
"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test","The New York Times , US; politics, 1532 words",2/2/21
Marjorie Taylor Greene was the moderator of a Facebook group that expressed support for executing Democrats and Trump opponents,"Newstex Blogs The Business Insider, 886 words",2/3/21
House GOP Leader Condemns Marjorie Taylor Greene's Conspiracy Rants But Won't Do More,"Newstex Blogs The Huffington Post, 807 words",2/3/21
"Kevin McCarthy, Other GOP Reps Voice Support to Keep Marjorie Taylor Greene On Committees","Newsweek.com, 711 words",2/3/21
A new kind of American radicalism': Capitol rioters a mainstream movement 'not connected to far-right extremism',"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:1, 624 words",2/3/21
"Top House Republican Condemns Marjorie Taylor Greene’s Comments, but Stands by Her","The New York Times , US; politics, 1632 words",2/3/21
Marjorie Taylor Greene's history of dangerous conspiracy theories and comments,"CNN Wire, 2184 words",2/4/21
Marjorie Taylor Greene's history of dangerous conspiracy theories and comments,"CNN Wire, 2190 words",2/4/21
"Meet the Press Daily for February 4, 2021","MSNBC, MTP DAILY 1:00 PM EST, NEWS; Domestic, 8180 words",2/4/21
McCarthy gives Greene total pass,"Newstex Blogs Lawyers, Guns, and Money, 325 words",2/4/21
"News Brief: Marjorie Taylor Greene, Biden Foreign Policy, Colleges Open","NPR Morning Edition, Morning Edition 10:00 AM EST, 2500 words",2/4/21
House To Decide If Rep. Marjorie Taylor Greene Is Dropped From 2 Key Panels,"NPR Morning Edition, Morning Edition 10:00 AM EST, 885 words",2/4/21
House Minority Leader McCarthy's Statement on Rep. Taylor Greene,"Targeted News Service, 336 words",2/4/21
Marjorie Taylor Greene to face no consequences from House GOP,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:1, 760 words",2/4/21
Appalling' Greene slapped by HouseGOP conspiracy nut booted from committees,"Daily News (New York), NEWS; CS; Pg. 4, 921 words",2/5/21
2 recent GOP votes show the party is more invested in censuring members who break with party line than addressing extremism and violence within its own ranks,"Newstex Blogs The Business Insider, 745 words",2/5/21
Barbara Comstock On The Future Of The GOP,"NPR Morning Edition, Morning Edition, 1239 words",2/5/21
US House votes to oust Marjorie Taylor Greene from committees: 'There must be consequences',"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:10, 1109 words",2/5/21
The House’s Unusual Move;On Politics,"The New York Times , US; politics, 1364 words",2/5/21
Democrats have been promoting violence cutting against their impeachment efforts,"Newstex Blogs Prairie Pundit, 264 words",2/6/21
"GRASSLEY INVITES DURBIN, DEMOCRATS TO CONFRONT ALL FORMS OF POLITICAL VIOLENCE","States News Service, 2661 words",2/6/21
"Grassley Invites Durbin, Democrats to Confront All Forms of Political Violence","Impact News Service, 2477 words",2/8/21
Against Conservative Civil War,"National Review; ARTICLES, 1393 words",2/8/21
"Trump's Impeachment Defense and the Problem of \Insider Political Violence\""""","Newstex Blogs Dorf on Law, 1533 words",2/8/21
"WRIGHT: I'm A Democrat, But It's Time To Leave The Party","The Daily Caller, OPINION, 1359 words",2/10/21
Will Democrats investigate violence ion Democrat cities last year?,"Newstex Blogs Prairie Pundit, 429 words",2/11/21
Survey: 4 In 10 Republicans Say Political Violence May Be Necessary,"Newstex Blogs The Moderate Voice, 502 words",2/11/21
A 'Scary' Survey Finding: 4 In 10 Republicans Say Political Violence May Be Necessary,"NPR Morning Edition, Morning Edition, 442 words",2/11/21
"Donald Trump would 'incite more violence' if allowed to run in 2024, impeachment trial hears","telegraph.co.uk, NEWS; Version:1, 690 words",2/11/21
‘Trump sent them there': Democrats wrap up impeachment case,"Brisbane Times, 576 words",2/12/21
"Trump has a history of inciting political violence, Democrats argue","The Globe and Mail (Canada), NEWS; Pg. A3, 728 words",2/12/21
Senate votes to acquit Trump for incitement of insurrection,"Congressional Quarterly News, 1283 words",2/13/21
U.S. Senate acquits Trump as Republicans save him in second impeachment trial,"Postmedia Breaking News, WORLD, 1528 words",2/13/21
Defiant Trump hails acquittal in Capitol riot impeachment trial by accusing Democrats of cheering mob,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:5, 575 words",2/13/21
Senate acquits Trump as Republicans save him in impeachment again,"Toronto Sun, WORLD, 1186 words",2/13/21
US Senate acquits Trump as Republicans save him from impeachment again,"Newstex Blogs The Dawn, 860 words",2/14/21
Failure to convict does not mean it was a mistake to try,"The Australian Online, 818 words",2/14/21
Acquittal an embarrassing mark on Republican record,"Sydney Morning Herald (Australia), OPINION; Letters; Pg. 18, 500 words",2/15/21
Failure to convict does not mean it was a mistake to try,"The Australian, WORLD; Pg. 9, 818 words",2/15/21
The Democrats' Last Chance to Save Democracy,"Atlantic Online, 4194 words",2/22/21
Dem effort to squash disinformation shifts from internet to airwaves,"National Journal Daily Extra AM, 1024 words",2/23/21
Democrats and GOP at odds over scope of commission to investigate Capitol riot,"CNN Wire, 1455 words",2/24/21
McConnell throws cold water on Dems' proposed 1/6 Commission,"Politico.com, CONGRESS, 949 words",2/24/21
Senate Minority Leader Throws Cold Water on Dems' Proposed 1/6 Commission,"FARS News Agency, 956 words",2/25/21
House Democrats strike back at GOP 'false equivalencies' during domestic terror hearing,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:1, 1343 words",2/25/21
Committee in Solidarity With the People of El Salvador: Congress to Biden Administration - Denounce Political Violence in El Salvador,"Targeted News Service, 944 words",2/26/21
Rep. Eric Swalwell Sues Trump and Allies Over Capitol Insurrection,"USNEWS.com, NEWS; National News; Vol.; No., 614 words",3/5/21
CNN Poll: Most Americans think election results could lead to political violence in the coming years,"CNN Wire, 976 words",3/12/21
Pelosi Disowns Effort by House Democrats to Remove Marjorie Taylor Greene: Expelling Her is 'Not a Leadership Position',"Newstex Blogs Mediaite, 243 words",3/19/21
Democrat Jimmy Gomez introduces resolution to kick Marjorie Taylor Greene out of Congress,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:2, 447 words",3/19/21
"Cooper, Cohen sign resolution with dozens of House Democrats to expel Marjorie Taylor Greene","Newstex Blogs Tennessee Lookout, 1145 words",3/21/21
"Spring 2021 Meredith Poll Explores N.C. Voter Attitudes About Political Leaders, Policy Issues Including Minimum Wage, Distracted Driving, COVID Response, Political Violence","Targeted News Service, 2569 words",3/23/21
"POLITICSNATION WITH AL SHARPTON for April 4, 2021","MSNBC, POLITICS NATION 5:00 PM EST, NEWS; Domestic, 5658 words",4/4/21
"Georgia’s New Law, and the Risk of Election Subversion","The New York Times , UPSHOT, 1758 words",4/6/21
"Let's hope Biden is another LBJ - the transformative 1964 version, that is;Priorities of the two Democratic presidents are strikingly similar. But can Joe Biden avoid the circumstances that eventually led to Lyndon B. Johnson's undoing?","Breaking News from globeandmail.com, 808 words",4/9/21
"Let's hope Biden is another LBJ - the transformative 1964 version, that is;OPINION","The Globe and Mail (Canada), OPINION; Pg. O11, 794 words",4/10/21
"Northern Ireland, born of strife 100 years ago, again erupts in political violence","Newstex Blogs The Moderate Voice, 331 words",4/12/21
Millions of Americans think the election was stolen. How worried should we be about more violence?,"The Guardian (London), US NEWS; Version:2, 1615 words",4/16/21
CNN's John Berman Slams Ted Cruz for Criticizing Maxine Waters: 'Pot Calling the Kettle Violent',"Newstex Blogs The Wrap, 597 words",4/19/21
Fund-Raising Surged for Republicans Who Sought to Overturn the Election,"The New York Times - International Edition, US, 1478 words",4/20/21
FBI labeled Steve Scalise and GOP Assassination Attempt as 'suicide by cop' Not Domestic Terrorism or Political Violence,"Newstex Blogs The Conservative Treehouse, 743 words",4/21/21
Cheney to McCarthy: 'You Can't Bury Our Head in the Sand',"Newstex Blogs Speaker of the House Blog, 349 words",4/27/21
Cheney: Addressing Capitol Attack 'Matters Hugely To The Survival Of Our Country',"Newstex Blogs Talking Points Memo, 572 words",4/27/21
Political Notes,"The White House Bulletin, IN THE WHITE HOUSE AND AROUND TOWN, 2222 words",4/27/21
Add Rank Hypocrisy to List of Ron Weiser Transgressions,"Newstex Blogs Progress Michigan, 325 words",5/4/21
Heist: The Northern Irish Bank Robbery review - I'm still in the dark,"thetimes.co.uk, CULTURE; Version:1, 1173 words",5/8/21
GOP flails for plan to restore Trump's internet privileges,"National Journal Daily Extra AM, 1216 words",5/11/21
John Adams Institute Proposes Constitutional Amendment to Congress,"PR Newswire, 696 words",5/11/21
Defiant Liz Cheney blasts Trump election lies ahead of leadership vote,"Brisbane Times, 771 words",5/12/21
"COMER OPENING STATEMENT: \WE CANNOT IGNORE SOME ACTS OF VIOLENCE AND THEN USE OTHERS FOR POLITICAL GAIN.\""""","States News Service, 975 words",5/12/21
Cheney fires last shots on Trump lies,"Sydney Morning Herald (Australia), WORLD; Pg. 28, 994 words",5/13/21
"McCarthy Comes Out Against Jan. 6 Commission, Weakening Odds Of It Passing","Forbes.com, 450 words",5/18/21
Republican House Whip urges his party NOT to vote for Capitol riot commission after GOP leader Kevin McCarthy said it ignores BLM and Antifa violence in American cities,"MailOnline, NEWS; Version:1, 1072 words",5/18/21
Kevin McCarthy says he won't support the Dem's Capitol riot commission because it ignores BLM and Antifa violence in American cities,"MailOnline, NEWS; Version:6, 945 words",5/18/21
"DEADLINE: WHITE HOUSE for May 18, 2021","MSNBC, DEADLINE: WHITE HOUSE 4:00 PM EST, NEWS; Domestic, 7856 words",5/18/21
"Republicans Split On Jan. 6 Commission As McCarthy Announces Opposition;'Given the Speaker's shortsighted scope that does not examine interrelated forms of political violence in America, I cannot support this legislation.'","The Daily Caller, POLITICS, 641 words",5/18/21
McCarthy opposes Jan. 6 commission because it would not study ‘political violence’ by the left.,"The New York Times , US, 721 words",5/18/21
Won't support bipartisan deal for 9/11-style commission to probe January 6 Capitol riot: Kevin McCarthy,"Asian News International (ANI), 562 words",5/19/21
"Tlaib Confronts Biden on Israel, Saying Support Enables Crimes Against Palestinians","Economic News, 5743 words",5/19/21
Our Republic Is Being Dismantled from Within': GOP Blocks Jan. 6th Investigation,"Rolling Stone, 815 words",5/28/21
Stefanik defends 'no' vote on commission to investigate U.S. Capitol attack,"The Post-Star (Glens Falls, New York), NATIONAL POLITICAL NEWS, 805 words",5/28/21
Is This Going To Be A Decade In Which Political Violence Is Normalized By The Republican Party?,"Newstex Blogs DownWithTyranny, 2293 words",6/4/21
The Cotton Controversy: The Dark Anniversary of the Surrender of the New York Times,"Newstex Blogs JonathanTurley.org, 1950 words",6/6/21
Senate Dems Say 'No' to Extra Pay for Officers Responding to Riots,"Newstex Blogs The Oregon Catalyst, 462 words",6/8/21
Republican Reps Demand To Know How Journalists Can Be Protected From Antifa Rioters;'The Biden Administration has a responsibility to protect Mr. Ngo and other journalists.',"The Daily Caller, POLITICS, 359 words",6/8/21
More On the Rolling Insurrection,"Newstex Blogs Talking Points Memo Editors' Blog, 99 words",6/9/21
Do You Want A GOP Congressional Nomination? Only Crazy People/Trump Cultists Need Apply,"Newstex Blogs DownWithTyranny, 1947 words",6/16/21
Politics McManus : Why Republicans are suddenly reluctant to condemn political violence,– TheLiveFeeds.com...,6/21/21
Why US Republicans support political violence,"Gulf News (United Arab Emirates), 852 words",6/22/21
Why Republicans are suddenly reluctant to condemn political violence,"The Republican Party has a problem with political violence: It's not sure whether it's for it or against it. In the first days after a mob loyal to former President Donald Trump stormed the Capitol on Jan. 6 to try to block Congress from certifying President Joe Biden's election, GOP leaders delivered a sensible, unified response: There's...",6/23/21
Dialogue Is Not Possible With ‘Opposing Views of Reality’;letters,"The New York Times , OPINION; letters, 1325 words",6/24/21
"Two Parties, 'Opposing Views of Reality'","The New York Times, Section A; Column 0Editorial Desk; Pg. 22; LETTERS, 1332 words",6/25/21
But Violence Worked For the Other Side!' - Loyalism's Dangerous and Dishonest Myth. Part 2,"Newstex Blogs Slugger O'Toole, 1091 words",7/1/21
US House votes to create select committee probing Capitol riot,"Indian Media news, 387 words",7/2/21
But Violence Worked For the Other Side!' - Loyalism's Dangerous and Dishonest Myth. Part 3,"Newstex Blogs Slugger O'Toole, 827 words",7/2/21
Political Violence And The GOP-- Will There Be A Price To Pay At The Polls?,"Newstex Blogs DownWithTyranny, 1434 words",7/17/21
House Republicans sharpen plan of attack on Democrats’ January 6 probe,"By Lauren Fox, Melanie Zanona and Manu Raju, CNN Republicans on the House’s new investigative committee are gearing up for a protracted clash with Democrats over former President Donald Trump’s role in the January 6 attack, with the GOP looking to turn the focus into the Capitol’s lack of preparedness, Speaker Nancy Pelosi’s actions and political violence...",7/21/21
House Republicans sharpen plan of attack on Democrats’ January 6 probe,"By Lauren Fox, Melanie Zanona and Manu Raju, CNN Republicans on the House’s new investigative committee are gearing up for a protracted clash with Democrats over former President Donald Trump’s role in the January 6 attack, with the GOP looking to turn the focus into the Capitol’s lack of preparedness, Speaker Nancy Pelosi’s actions and political violence...",7/21/21
House Republicans sharpen plan of attack on Democrats' January 6 probe,"CNN Wire, 1569 words",7/21/21
Jim Jordan gives preview of GOP tactics on Capitol riots committee: Democrats are to blame,"The Independent (United Kingdom), NEWS,WORLD,AMERICAS,US POLITICS; Version:1, 875 words",7/21/21
Zambia: The President Should Rescind the Decision to Deploy De-fence Forces," The Maravi Post, 648 words",8/2/21
Armed Forces implored to uphold rule of law," Zambian Eye, 334 words",8/3/21
"The Rachel Maddow Show for August 5, 2021","MSNBC, THE RACHEL MADDOW SHOW 9:00 PM EST, NEWS; Domestic, 7170 words",8/5/21
Op-Ed: Partisan politics or a battle for the Republic? The bastardization of American political coverage,"Michigan Daily: University of Michigan-Ann Arbor, OPINION; Pg. 1, 1084 words",8/9/21
"DEADLINE: WHITE HOUSE for August 11, 2021","MSNBC, DEADLINE: WHITE HOUSE 4:00 PM EST, NEWS; Domestic, 7973 words",8/11/21
President Lungu under pressure to concede defeat in Zambia polls,"The Daily Monitor, 397 words",8/15/21
Ruth Dudley Edwards: Thomas McElwee’s story is one of lives ruined by hatred,"News Letter, COLUMNISTSPOLITICS, 1010 words",8/17/21
Hill staff: Political violence can feel like part of the job,"Congressional Quarterly News, 1177 words",8/23/21
"ARE THREATS NEW NORMAL?;STAFF SAY THE FEAR OF POLITICAL VIOLENCE IS NOW PART OF THEIR JOB;CAPITOL HILL | INSURRECTION, BARRICADE CRASH, STANDOFF ...","Wisconsin State Journal (Madison, Wisconsin), FRONT; Pg. A12, 581 words",8/26/21
Renewed fears of political violence grip Capitol Hill ahead of right-wing rally,"CNN Wire, 1477 words",8/27/21
